Schema,Table,Field,Field_Type,Field_Length,Constraint,FakerType
public,account,account_number,character varying,4,,Lorem
public,account,account_type,character varying,125,,Lorem
public,account,bank_name,character varying,500,,Lorem
public,account,id,integer,,PRIMARY KEY,NA
public,account,is_joint_account,character varying,3,,Lorem
public,account,meta,text,,,Lorem
public,account,sort_code,character varying,6,,Lorem
public,action,do_you_expect_decisions,character varying,4,,Lorem
public,action,do_you_expect_decisions_details,text,,,Lorem
public,action,do_you_have_concerns,character varying,4,,Lorem
public,action,do_you_have_concerns_details,text,,,Lorem
public,action,id,integer,,PRIMARY KEY,NA
public,asset,address,character varying,200,,Lorem
public,asset,address2,character varying,200,,Lorem
public,asset,county,character varying,75,,Lorem
public,asset,description,text,,,Lorem
public,asset,has_charges,character varying,4,,Lorem
public,asset,has_mortgage,character varying,4,,Lorem
public,asset,id,integer,,PRIMARY KEY,NA
public,asset,is_rented_out,character varying,4,,Lorem
public,asset,is_subject_equity_rel,character varying,4,,Lorem
public,asset,occupants,character varying,550,,Lorem
public,asset,owned,character varying,15,,Lorem
public,asset,postcode,character varying,10,,PostCode
public,asset,title,character varying,100,,Lorem
public,asset,type,character varying,255,,Lorem
public,checklist,accounts_balance,character varying,3,,Lorem
public,checklist,assets_declared_and_managed,character varying,3,,Lorem
public,checklist,bond_adequate,character varying,3,,Lorem
public,checklist,bond_order_match_sirius,character varying,3,,Lorem
public,checklist,care_arrangements,character varying,3,,Lorem
public,checklist,case_worker_satisified,character varying,3,,Lorem
public,checklist,client_benefits_checked,character varying,3,,Lorem
public,checklist,consultations_satisfactory,character varying,3,,Lorem
public,checklist,contact_details_upto_date,character varying,3,,Lorem
public,checklist,debts_managed,character varying,3,,Lorem
public,checklist,decisions_satisfactory,character varying,3,,Lorem
public,checklist,deputy_charge_allowed_by_court,character varying,3,,Lorem
public,checklist,deputy_full_name_accurate_in_sirius,character varying,3,,Lorem
public,checklist,final_decision,character varying,30,,Lorem
public,checklist,future_significant_decisions,character varying,3,,Lorem
public,checklist,has_deputy_overcharged_from_previous_estimates,character varying,3,,Lorem
public,checklist,has_deputy_raised_concerns,character varying,3,,Lorem
public,checklist,id,integer,,PRIMARY KEY,NA
public,checklist,lodging_summary,text,,,Lorem
public,checklist,money_movements_acceptable,character varying,3,,Lorem
public,checklist,next_billing_estimate_satisfactory,character varying,3,,Lorem
public,checklist,open_closing_balances_match,character varying,3,,Lorem
public,checklist,opg_uuid,character varying,36,,Lorem
public,checklist,payments_match_cost_certificate,character varying,3,,Lorem
public,checklist,prof_costs_reasonable_and_proportionate,character varying,3,,Lorem
public,checklist,reporting_period_accurate,character varying,3,,Lorem
public,checklist,satisfied_with_health_and_lifestyle,character varying,3,,Lorem
public,checklist,satisfied_with_pa_expenses,character varying,3,,Lorem
